Bed_Number,beds_1A,gsize_1A,facies_1A,lith_1A,amal_1A,beds_1B,gsize_1B,facies_1B,lith_1B,amal_1B,beds_1C,gsize_1C,facies_1C,lith_1C,amal_1C,beds_2A,gsize_2A,facies_2A,lith_2A,amal_2A,beds_3A,gsize_3A,facies_3A,lith_3A,amal_3A,beds_3B,gsize_3B,facies_3B,lith_3B,amal_3B,beds_4A,gsize_4A,facies_4A,lith_4A,amal_4A,beds_5A,gsize_5A,facies_5A,lith_5A,amal_5A,beds_5B,gsize_5B,facies_5B,lith_5B,amal_5B,beds_5C,gsize_5C,facies_5C,lith_5C,amal_5C
1,25,2,1,1,1,39,2,1,1,0,62,4,4,1,0,60,2,1,1,0,5,3,3,1,0,3.5,3,3,1,0,32,1,1,1,0,190,3,7,2,0,16,6,2,2,0,26,2,1,1,0
2,8,2,1,1,1,80,5,5,1,1,15,5,6,1,0,12,4,4,1,0,7,1,1,1,0,4,1,1,1,0,34,2,1,1,0,62,7,5,2,0,6,6,3,2,0,6,5,3,2,0
3,24,3,4,1,0,24,4,4,1,1,36,1,1,1,0,4,2,1,1,0,4,3,3,1,0,2.5,3,3,1,0,99,1,1,1,0,58,7,5,2,0,1,1,1,1,0,16,1,1,1,0
4,8,2,1,1,0,1,1,1,1,0,49,4,4,1,0,33,4,4,1,1,4,1,1,1,0,7,4,3,1,0,15,3,4,1,1,26,5,5,2,0,18,7,2,2,0,2,3,3,1,0
5,15,3,4,1,1,10,2,1,1,0,9,2,1,1,0,40,4,4,1,1,2,3,3,1,1,4,5,3,1,0,8,3,3,1,1,102,5,7,2,0,7,7,3,2,1,3,1,1,1,0
6,24,3,4,1,1,9,1,1,1,0,10,4,4,1,0,20,3,6,1,0,5,3,3,1,1,5,1,1,1,0,8,3,3,1,1,11,5,4,2,1,8,7,3,2,1,4,3,3,1,0
7,28,2,1,1,0,81,4,5,1,0,4,1,1,1,0,61,3,4,1,0,6,3,3,1,1,5,5,3,1,0,6,3,3,1,1,21,5,4,2,1,6,1,1,1,0,16,1,1,1,0
8,22,3,4,1,0,9,1,1,1,0,19,4,4,1,0,8,2,1,1,0,2,1,1,1,0,10,1,1,1,0,13,3,4,1,1,15,5,4,2,1,14,6,4,2,0,10,5,4,2,0
9,52,2,1,1,1,39,4,4,1,1,10,2,1,1,0,103,3,6,2,0,10,3,4,1,0,2,4,3,1,0,30,10,6,1,0,18,5,4,2,1,20,7,4,2,0,7,3,3,1,0
10,8,2,1,1,1,26,4,4,1,1,27,4,4,1,1,45,6,4,2,1,0.5,1,1,1,0,48,1,1,1,0,20,10,6,1,0,16,5,4,2,1,19,7,4,2,0,107,2,1,1,0
11,10,4,4,1,0,63,5,5,1,0,25,4,4,1,1,30,7,4,2,1,8,3,3,1,0,5,4,3,1,0,30,5,4,1,0,556,6,5,2,0,190,1,1,1,0,11,2,4,1,0
12,46,2,1,1,0,9,1,1,1,0,5,2,1,1,0,10,1,1,1,0,0.5,1,1,1,0,0.5,1,1,1,0,20,1,1,1,0,,,,,,120,3,7,2,0,6,2,1,1,0
13,20,3,4,1,0,24,2,1,1,0,6,3,3,1,0,29,5,4,2,1,7,3,3,1,0,17,5,4,1,1,85,10,6,1,0,,,,,,42,7,5,2,0,5,3,3,1,0
14,40,2,1,1,0,35,3,4,1,0,8,2,1,1,0,19,5,4,2,1,0.5,1,1,1,0,12,5,4,1,1,93,5,5,2,0,,,,,,,,,,,37,2,1,1,0
15,40,4,4,1,0,12,1,1,1,0,17,4,4,1,1,8,5,3,2,1,6,3,3,1,0,5,1,1,1,0,15,1,1,1,0,,,,,,,,,,,4,5,3,2,1
16,25,2,1,1,0,,,,,,13,4,4,1,1,25,4,4,2,1,20,2,1,1,0,7,4,3,1,0,15,6,4,2,0,,,,,,,,,,,7,5,3,2,1
17,75,2,1,1,0,,,,,,33,4,4,1,1,6,2,1,1,0,5,4,3,1,0,36,1,1,1,0,15,3,4,1,0,,,,,,,,,,,40,2,1,1,0
18,14,2,1,1,0,,,,,,70,3,6,1,0,2,1,1,1,0,3,1,1,1,0,3,4,3,1,1,68,2,1,1,0,,,,,,,,,,,5,3,3,1,0
19,13,3,4,1,0,,,,,,65,2,1,1,0,7,4,3,1,0,7,4,3,1,0,2,4,3,1,1,8,4,3,1,0,,,,,,,,,,,1,1,1,1,0
20,12,2,1,1,0,,,,,,12,4,4,1,1,17,1,1,1,0,11,2,1,1,0,5,4,3,1,1,25,2,1,1,0,,,,,,,,,,,2,3,3,1,0
21,19,2,1,1,0,,,,,,10,4,4,1,1,5,6,3,2,0,4,3,3,1,0,3,4,3,1,1,2,4,3,1,0,,,,,,,,,,,8,2,1,1,0
22,11,2,1,1,0,,,,,,54,2,1,1,0,6,1,1,1,0,9,2,1,1,0,6,4,3,1,1,20,2,1,1,0,,,,,,,,,,,7,4,3,1,0
23,65,2,1,1,0,,,,,,17,4,4,1,1,7,3,3,1,0,7,3,3,1,0,39,1,1,1,0,6,5,3,2,0,,,,,,,,,,,4,1,1,1,0
24,9,4,3,1,0,,,,,,24,4,4,1,1,6,1,1,1,0,45,1,1,1,0,7,5,3,1,0,50,1,1,1,0,,,,,,,,,,,19,5,4,2,0
25,5,1,1,1,0,,,,,,35,4,4,1,1,5,2,3,1,0,5,3,3,1,0,10,1,1,1,0,46,5,4,1,1,,,,,,,,,,,29,2,1,1,0
26,12,3,4,1,0,,,,,,32,3,4,1,0,55,2,1,1,0,3,3,3,1,0,5,3,3,1,0,26,5,4,1,1,,,,,,,,,,,25,3,4,1,0
27,900,2,6,1,0,,,,,,35,4,4,1,1,,,,,,1,1,1,1,0,4,1,1,1,0,41,2,1,1,0,,,,,,,,,,,54,2,1,1,0
28,,,,,,,,,,,37,4,4,1,1,,,,,,2,3,3,1,0,3,3,3,1,0,19,5,4,1,0,,,,,,,,,,,6,3,3,1,0
29,,,,,,,,,,,26,4,4,1,1,,,,,,16,2,1,1,0,2,1,1,1,0,50,2,1,1,0,,,,,,,,,,,35,1,1,1,0
30,,,,,,,,,,,31,2,1,1,0,,,,,,6,3,3,1,0,2,3,3,1,0,20,3,4,1,0,,,,,,,,,,,9,2,1,1,0
31,,,,,,,,,,,39,4,4,1,0,,,,,,8,2,1,1,0,15,1,1,1,0,15,1,1,1,0,,,,,,,,,,,5,5,3,2,0
32,,,,,,,,,,,12,2,1,1,0,,,,,,4,3,3,1,0,3,3,3,1,0,15,3,4,1,0,,,,,,,,,,,5,1,1,1,0
33,,,,,,,,,,,5,3,3,1,0,,,,,,5,2,1,1,0,43,1,1,1,0,16,1,1,1,0,,,,,,,,,,,4,4,3,2,0
34,,,,,,,,,,,5,2,1,1,0,,,,,,4,3,3,1,0,3,2,3,1,0,2,4,3,1,0,,,,,,,,,,,3,2,1,1,0
35,,,,,,,,,,,25,4,4,1,0,,,,,,2,2,1,1,0,145,1,1,1,0,18,3,4,1,1,,,,,,,,,,,14,5,4,2,0
36,,,,,,,,,,,5,2,1,1,0,,,,,,4,3,3,1,0,12,3,4,1,0,15,3,4,1,1,,,,,,,,,,,80,2,1,1,0
37,,,,,,,,,,,45,4,4,1,0,,,,,,2,3,3,1,0,61,1,1,1,0,3,2,1,1,0,,,,,,,,,,,5,5,3,2,0
38,,,,,,,,,,,2,1,1,1,0,,,,,,350,1,1,1,0,9,5,3,1,0,26,3,4,1,0,,,,,,,,,,,62,2,1,1,0
39,,,,,,,,,,,4,3,3,1,0,,,,,,9,3,3,1,0,37,1,1,1,0,5,2,1,1,0,,,,,,,,,,,3,4,3,2,1
40,,,,,,,,,,,30,4,4,1,1,,,,,,78,1,1,1,0,12,3,4,1,1,3,6,3,2,0,,,,,,,,,,,7,4,3,2,1
41,,,,,,,,,,,12,3,4,1,1,,,,,,10,3,4,1,0,8,3,3,1,1,8,1,1,1,0,,,,,,,,,,,3,2,1,1,0
42,,,,,,,,,,,22,2,1,1,0,,,,,,38,1,1,1,0,10,1,1,1,0,21,3,4,1,0,,,,,,,,,,,4,3,3,1,1
43,,,,,,,,,,,130,2,1,1,0,,,,,,14,3,4,1,0,7,4,3,1,0,5,4,3,1,0,,,,,,,,,,,5,3,3,1,1
44,,,,,,,,,,,20,3,4,1,0,,,,,,27,2,1,1,0,16,1,1,1,0,10,3,4,1,1,,,,,,,,,,,42,1,1,1,0
45,,,,,,,,,,,10,1,1,1,0,,,,,,150,1,1,1,0,5,3,3,1,0,27,3,4,1,1,,,,,,,,,,,13,3,3,1,0
46,,,,,,,,,,,50,4,4,1,0,,,,,,13,3,4,1,0,10,1,1,1,0,10,4,4,1,0,,,,,,,,,,,6,5,3,2,0
47,,,,,,,,,,,12,2,1,1,0,,,,,,4,2,1,1,0,6,3,3,1,0,24,3,4,1,0,,,,,,,,,,,7,2,1,1,0
48,,,,,,,,,,,35,4,4,1,1,,,,,,21,3,4,1,0,15,1,1,1,0,3,4,3,1,0,,,,,,,,,,,5,4,3,1,1
49,,,,,,,,,,,26,4,4,1,1,,,,,,21,4,4,1,0,4,3,3,1,0,16,2,1,1,0,,,,,,,,,,,18,4,4,1,1
50,,,,,,,,,,,23,3,4,1,1,,,,,,150,1,1,1,0,70,1,1,1,0,14,3,4,1,1,,,,,,,,,,,3,2,1,1,0
51,,,,,,,,,,,10,2,1,1,0,,,,,,107,4,4,1,0,43,1,1,1,0,9,3,3,1,1,,,,,,,,,,,2,3,3,1,0
52,,,,,,,,,,,52,4,4,1,0,,,,,,32,2,1,1,0,42,5,4,1,0,5,3,3,1,1,,,,,,,,,,,3,1,1,1,0
53,,,,,,,,,,,41,2,1,1,0,,,,,,6,3,3,1,1,60,1,1,1,0,10,3,4,1,1,,,,,,,,,,,3,4,3,1,0
54,,,,,,,,,,,8,4,3,1,1,,,,,,12,3,4,1,1,10,4,4,1,0,9,2,1,1,0,,,,,,,,,,,83,1,1,1,0
55,,,,,,,,,,,11,4,4,1,1,,,,,,13,3,4,1,1,5,1,1,1,0,11,3,4,1,0,,,,,,,,,,,6,4,3,1,1
56,,,,,,,,,,,25,4,4,1,1,,,,,,2,1,1,1,0,29,5,4,1,0,2,2,1,1,0,,,,,,,,,,,12,4,4,1,1
57,,,,,,,,,,,1,1,1,1,0,,,,,,2,4,3,1,0,62,1,1,1,0,13,3,4,1,0,,,,,,,,,,,32,2,1,1,0
58,,,,,,,,,,,19,4,4,1,0,,,,,,18,2,1,1,0,33,3,2,1,0,28,2,1,1,0,,,,,,,,,,,6,4,3,1,1
59,,,,,,,,,,,34,3,4,1,0,,,,,,12,4,4,1,1,215,2,6,1,0,8,3,3,1,0,,,,,,,,,,,6,4,3,1,1
60,,,,,,,,,,,30,2,1,1,0,,,,,,36,4,4,1,1,36,4,4,1,0,52,2,1,1,0,,,,,,,,,,,19,2,1,1,0
61,,,,,,,,,,,29,3,4,1,0,,,,,,23,4,4,1,1,10,5,4,1,1,6,6,3,2,0,,,,,,,,,,,4,5,3,1,0
62,,,,,,,,,,,35,4,4,1,0,,,,,,1,1,1,1,0,10,5,4,1,1,20,3,4,1,0,,,,,,,,,,,5,2,1,1,0
63,,,,,,,,,,,70,1,1,1,0,,,,,,14,3,4,1,0,10,5,4,1,1,9,5,3,1,0,,,,,,,,,,,8,5,3,1,0
64,,,,,,,,,,,22,3,4,1,0,,,,,,2,1,1,1,0,8,1,1,1,0,76,4,5,1,0,,,,,,,,,,,8,2,1,1,0
65,,,,,,,,,,,47,1,1,1,0,,,,,,5,3,3,1,0,9,4,3,1,0,18,4,4,1,1,,,,,,,,,,,5,4,3,1,0
66,,,,,,,,,,,19,2,1,1,0,,,,,,1,1,1,1,0,4,1,1,1,0,14,4,4,1,1,,,,,,,,,,,30,1,1,1,0
67,,,,,,,,,,,7,3,3,1,0,,,,,,11,3,4,1,1,21,4,4,1,0,8,4,3,1,1,,,,,,,,,,,4,4,3,1,0
68,,,,,,,,,,,10,2,1,1,0,,,,,,10,3,4,1,1,104,1,1,1,0,2,2,1,1,0,,,,,,,,,,,6,1,1,1,0
69,,,,,,,,,,,14,3,4,1,0,,,,,,12,4,4,1,1,20,5,4,1,0,8,3,3,1,0,,,,,,,,,,,3,3,3,1,0
70,,,,,,,,,,,6,2,1,1,0,,,,,,9,4,3,1,1,52,1,1,1,0,11,2,1,1,0,,,,,,,,,,,27,1,1,1,0
71,,,,,,,,,,,6,3,3,1,0,,,,,,193,2,1,1,0,10,5,4,1,0,22,2,1,1,0,,,,,,,,,,,2,3,3,1,0
72,,,,,,,,,,,10,2,1,1,0,,,,,,33,3,4,1,1,80,1,6,1,0,13,3,3,1,0,,,,,,,,,,,55,1,1,1,0
73,,,,,,,,,,,21,3,4,1,0,,,,,,24,3,4,1,1,10,5,4,1,0,11,4,4,1,0,,,,,,,,,,,2,5,3,2,0
74,,,,,,,,,,,78,1,1,1,0,,,,,,2,1,1,1,0,52,1,6,1,0,4,3,3,1,1,,,,,,,,,,,3,1,1,1,0
75,,,,,,,,,,,27,2,1,1,0,,,,,,12,4,4,1,0,11,4,4,1,0,6,3,3,1,1,,,,,,,,,,,3,5,3,2,0
76,,,,,,,,,,,13,3,4,1,0,,,,,,2,1,1,1,0,500,5,7,2,0,1,2,1,1,0,,,,,,,,,,,6,1,1,1,0
77,,,,,,,,,,,30,4,4,1,0,,,,,,20,3,3,1,0,,,,,,12,3,4,1,0,,,,,,,,,,,2,4,3,2,0
78,,,,,,,,,,,46,1,1,1,0,,,,,,47,7,4,2,0,,,,,,3,4,3,1,0,,,,,,,,,,,7,1,1,1,0
79,,,,,,,,,,,47,2,1,1,0,,,,,,32,3,4,1,0,,,,,,7,4,3,1,0,,,,,,,,,,,7,4,3,2,0
80,,,,,,,,,,,20,3,4,1,0,,,,,,1,4,3,2,0,,,,,,24,2,1,1,0,,,,,,,,,,,33,2,1,1,0
81,,,,,,,,,,,15,2,1,1,0,,,,,,10,2,1,1,0,,,,,,9,3,3,1,0,,,,,,,,,,,6,3,3,1,0
82,,,,,,,,,,,26,1,1,1,0,,,,,,1,4,3,2,0,,,,,,8,3,3,1,0,,,,,,,,,,,350,3,7,2,0
83,,,,,,,,,,,26,2,1,1,0,,,,,,26,3,3,1,0,,,,,,9,3,3,1,0,,,,,,,,,,,53,1,1,1,0
84,,,,,,,,,,,78,1,1,1,0,,,,,,20,1,1,1,0,,,,,,3,1,1,1,0,,,,,,,,,,,6,3,3,1,0
85,,,,,,,,,,,33,2,1,1,0,,,,,,95,2,1,1,0,,,,,,10,3,4,1,0,,,,,,,,,,,32,2,1,1,0
86,,,,,,,,,,,24,1,1,1,0,,,,,,11,3,4,1,0,,,,,,16,3,4,1,0,,,,,,,,,,,2,4,3,1,0
87,,,,,,,,,,,7,3,3,1,0,,,,,,9,1,1,1,0,,,,,,6,6,3,2,0,,,,,,,,,,,56,2,1,1,0
88,,,,,,,,,,,8,1,1,1,0,,,,,,8,3,3,1,0,,,,,,4,6,3,2,0,,,,,,,,,,,6,4,3,1,0
89,,,,,,,,,,,14,4,4,1,0,,,,,,1,5,3,2,0,,,,,,35,2,1,1,0,,,,,,,,,,,35,2,1,1,0
90,,,,,,,,,,,18,1,1,1,0,,,,,,6,3,3,1,0,,,,,,26,4,4,1,1,,,,,,,,,,,54,5,4,2,0
91,,,,,,,,,,,28,3,4,1,0,,,,,,1,5,3,2,0,,,,,,20,5,4,1,1,,,,,,,,,,,110,2,1,1,0
92,,,,,,,,,,,58,2,1,1,0,,,,,,8,3,3,1,0,,,,,,7,3,3,1,0,,,,,,,,,,,15,4,4,2,0
93,,,,,,,,,,,12,3,4,1,1,,,,,,2,5,3,2,0,,,,,,65,1,1,1,0,,,,,,,,,,,69,2,1,1,0
94,,,,,,,,,,,10,2,1,1,1,,,,,,7,3,3,1,0,,,,,,25,3,4,1,1,,,,,,,,,,,17,8,4,2,0
95,,,,,,,,,,,12,3,4,1,1,,,,,,1,5,3,2,0,,,,,,27,3,4,1,1,,,,,,,,,,,86,2,1,1,0
96,,,,,,,,,,,22,1,1,1,0,,,,,,61,1,1,1,0,,,,,,3,6,3,2,1,,,,,,,,,,,40,8,4,2,0
97,,,,,,,,,,,39,4,4,1,1,,,,,,20,3,4,1,0,,,,,,20,3,4,1,1,,,,,,,,,,,65,2,1,1,0
98,,,,,,,,,,,25,3,4,1,1,,,,,,2,5,3,2,0,,,,,,15,2,1,1,0,,,,,,,,,,,4,8,4,2,0
99,,,,,,,,,,,65,2,1,1,0,,,,,,81,1,1,1,0,,,,,,40,1,1,1,0,,,,,,,,,,,125,2,1,1,0
100,,,,,,,,,,,80,4,4,1,0,,,,,,6,3,3,1,0,,,,,,11,10,6,1,0,,,,,,,,,,,24,3,3,1,0
101,,,,,,,,,,,30,1,1,1,0,,,,,,3,5,3,2,0,,,,,,13,10,6,1,0,,,,,,,,,,,2,1,1,1,0
102,,,,,,,,,,,20,3,4,1,0,,,,,,45,2,1,1,0,,,,,,4,5,3,1,0,,,,,,,,,,,7,3,3,1,1
103,,,,,,,,,,,2,2,1,1,0,,,,,,13,3,4,1,0,,,,,,5,6,3,2,0,,,,,,,,,,,8,3,3,1,1
104,,,,,,,,,,,40,3,4,1,0,,,,,,44,2,1,1,0,,,,,,21,3,4,1,0,,,,,,,,,,,15,3,4,1,1
105,,,,,,,,,,,14,2,1,1,0,,,,,,6,3,3,1,0,,,,,,24,2,1,1,0,,,,,,,,,,,34,2,1,1,0
106,,,,,,,,,,,30,3,4,1,0,,,,,,2,5,3,2,0,,,,,,16,3,4,1,0,,,,,,,,,,,6,6,3,2,0
107,,,,,,,,,,,,,,,,,,,,,37,3,4,1,0,,,,,,5,4,3,1,0,,,,,,,,,,,20,2,1,1,0
108,,,,,,,,,,,,,,,,,,,,,122,2,1,1,0,,,,,,20,3,4,1,0,,,,,,,,,,,5,6,3,2,0
109,,,,,,,,,,,,,,,,,,,,,1,6,3,2,0,,,,,,10,2,1,1,0,,,,,,,,,,,20,2,1,1,0
110,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0,,,,,,13,3,4,1,0,,,,,,,,,,,8,5,3,1,1
111,,,,,,,,,,,,,,,,,,,,,6,5,3,2,0,,,,,,14,3,4,1,0,,,,,,,,,,,9,5,3,1,1
112,,,,,,,,,,,,,,,,,,,,,35,1,1,1,0,,,,,,4,6,3,2,0,,,,,,,,,,,7,5,3,1,1
113,,,,,,,,,,,,,,,,,,,,,11,3,4,1,0,,,,,,21,3,4,1,0,,,,,,,,,,,7,4,3,1,1
114,,,,,,,,,,,,,,,,,,,,,11,1,1,1,0,,,,,,22,2,1,1,0,,,,,,,,,,,58,1,1,1,0
115,,,,,,,,,,,,,,,,,,,,,5,6,3,2,0,,,,,,16,3,4,1,1,,,,,,,,,,,8,6,3,2,0
116,,,,,,,,,,,,,,,,,,,,,25,3,4,1,0,,,,,,22,3,4,1,1,,,,,,,,,,,38,1,1,1,0
117,,,,,,,,,,,,,,,,,,,,,2,4,3,2,0,,,,,,10,3,4,1,1,,,,,,,,,,,5,5,3,1,0
118,,,,,,,,,,,,,,,,,,,,,22,3,4,1,0,,,,,,20,4,4,1,1,,,,,,,,,,,7,1,1,1,0
119,,,,,,,,,,,,,,,,,,,,,280,2,7,2,0,,,,,,200,1,1,1,0,,,,,,,,,,,6,5,3,1,0
120,,,,,,,,,,,,,,,,,,,,,13,5,2,1,0,,,,,,15,2,1,1,0,,,,,,,,,,,11,1,1,1,0
121,,,,,,,,,,,,,,,,,,,,,58,2,1,1,0,,,,,,17,5,4,1,1,,,,,,,,,,,6,5,1,2,0
