log,lat,long,z,meanthickness,meangsize
1A,41.19944444,48.24527778,1750,91.16666667,3
1B,41.20166667,48.25444444,1680,42.44444444,3.666666667
1C,41.20194444,48.25166667,1530,27.11290323,3.693548387
2B,41.195161,48.259659,1678,16.17303371,3.685393258
3B,41.202191,48.261274,1592,16.91304348,3.804347826
4A,41.202454,48.268674,1656,20.40760456,4.239543726
5A,41.20030048,48.264785,1707,97.72727273,5.272727273
5B,41.200687,48.264507,1726,31,6.375
5C,41.204544,48.267427,1598,11.85714286,4.714285714
6A,41.135175,48.571891,1488,50,7
7A,41.097369,48.62845,1532,,
7B,41.094108,48.63032,1613,,
7C,41.0934,48.63184,1623,,
7D,41.093593,48.62936,1564,,
8A,41.192912,48.359964,1887,,
8B,41.193166,48.358489,1907,,
8C,41.193449,48.357327,1948,,
9A,41.212452,48.194139,2485,,
10A,41.160913,48.580327,1247,,
11A,41.15792,48.572842,1221,,
12A,41.138453,48.55533,1777,,
13A,41.150085,48.585413,1165,,
13B,41.146252,48.625761,1165,,